Quiz Score,Coding Score,Problems Solved,Technical Query Rating,Project Experience,Study Consistency,Learning Behaviour,Skill Level
20,1,5,3,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
64,6,158,6,Advanced,partially-consistent,High-potential,Advanced
29,1,7,2,Vibe-Coder,Highly-consistent,Active-learner,Advanced Beginner
87,6,31,6,Advanced,partially-consistent,High-potential,Advanced
18,0,3,1,Vibe-Coder,Inconsistent,Passive-learner,Beginner
87,8,446,8,Expert,partially-consistent,Active-learner,Expert
34,1,8,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
61,7,43,7,Intermediate,Highly-consistent,High-potential,Advanced
95,9,412,8,Advanced,Highly-consistent,Active-learner,Expert
66,5,20,4,Vibe-Coder,partially-consistent,Active-learner,Intermediate
90,9,204,8,Vibe-Coder,partially-consistent,Struggling,Expert
52,5,33,4,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
96,9,377,8,Expert,Highly-consistent,Active-learner,Expert
19,1,7,2,Beginner,partially-consistent,Struggling,Advanced Beginner
35,1,3,2,Vibe-Coder,Inconsistent,High-potential,Advanced Beginner
15,1,5,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
66,7,181,6,Intermediate,partially-consistent,Active-learner,Advanced
34,5,14,5,Beginner,partially-consistent,Struggling,Intermediate
95,9,187,8,Expert,Highly-consistent,Active-learner,Expert
94,8,186,9,Advanced,Highly-consistent,Passive-learner,Expert
81,6,188,6,Vibe-Coder,partially-consistent,Struggling,Advanced
99,8,198,9,Expert,partially-consistent,High-potential,Expert
35,1,4,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
73,6,94,6,Intermediate,Highly-consistent,Passive-learner,Advanced
77,6,98,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
2,0,1,1,None,partially-consistent,Passive-learner,Beginner
9,0,2,1,Vibe-Coder,Inconsistent,Passive-learner,Beginner
46,5,31,5,Intermediate,partially-consistent,Passive-learner,Intermediate
61,6,88,6,Vibe-Coder,Highly-consistent,Active-learner,Advanced
5,0,2,0,Vibe-Coder,partially-consistent,Passive-learner,Beginner
76,6,111,6,Vibe-Coder,Highly-consistent,Active-learner,Advanced
31,1,5,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
33,1,7,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
96,8,331,8,Expert,partially-consistent,High-potential,Expert
88,7,118,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
94,8,324,9,Expert,partially-consistent,Struggling,Expert
38,5,8,5,Vibe-Coder,partially-consistent,Active-learner,Intermediate
14,0,0,1,Vibe-Coder,partially-consistent,Passive-learner,Beginner
96,9,417,9,Vibe-Coder,partially-consistent,High-potential,Expert
65,7,192,7,Intermediate,partially-consistent,Active-learner,Advanced
73,7,100,6,Advanced,partially-consistent,Active-learner,Advanced
15,1,3,2,Vibe-Coder,Highly-consistent,Struggling,Advanced Beginner
85,7,115,7,Advanced,Highly-consistent,Active-learner,Advanced
3,0,2,1,Vibe-Coder,partially-consistent,Passive-learner,Beginner
82,7,185,7,Vibe-Coder,Highly-consistent,Active-learner,Advanced
39,1,9,2,Vibe-Coder,Highly-consistent,Passive-learner,Advanced Beginner
89,9,493,9,Advanced,partially-consistent,High-potential,Expert
89,7,196,6,Advanced,Highly-consistent,Active-learner,Advanced
39,1,8,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
17,1,5,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
15,1,5,3,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
22,1,5,2,Beginner,Inconsistent,Active-learner,Advanced Beginner
91,8,435,8,Advanced,partially-consistent,Struggling,Expert
33,5,38,4,Beginner,partially-consistent,Passive-learner,Intermediate
38,1,3,3,Vibe-Coder,Inconsistent,High-potential,Advanced Beginner
29,1,7,2,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
77,6,33,6,Intermediate,partially-consistent,Active-learner,Advanced
65,4,35,4,Intermediate,Inconsistent,Active-learner,Intermediate
97,9,253,8,Advanced,partially-consistent,Active-learner,Expert
87,6,142,7,Vibe-Coder,Highly-consistent,High-potential,Advanced
38,1,8,3,Beginner,partially-consistent,Struggling,Advanced Beginner
8,1,3,1,Vibe-Coder,partially-consistent,Struggling,Beginner
76,7,62,7,Advanced,partially-consistent,Active-learner,Advanced
10,0,1,1,Vibe-Coder,partially-consistent,Struggling,Beginner
11,1,2,0,None,partially-consistent,Active-learner,Beginner
85,8,351,8,Advanced,Highly-consistent,Active-learner,Expert
33,4,8,4,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
19,1,5,3,Beginner,partially-consistent,Struggling,Advanced Beginner
72,7,90,6,Intermediate,partially-consistent,Active-learner,Advanced
89,7,146,6,Advanced,partially-consistent,Active-learner,Advanced
17,1,1,0,None,partially-consistent,Passive-learner,Beginner
64,6,128,7,Advanced,partially-consistent,Active-learner,Advanced
12,0,2,1,None,Highly-consistent,Passive-learner,Beginner
37,1,7,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
88,9,402,9,Expert,Inconsistent,Struggling,Expert
71,7,88,7,Advanced,partially-consistent,Active-learner,Advanced
33,4,8,4,Beginner,Highly-consistent,Passive-learner,Intermediate
18,1,1,1,Vibe-Coder,Inconsistent,Passive-learner,Beginner
1,0,0,1,Beginner,Inconsistent,Struggling,Beginner
9,0,1,0,Vibe-Coder,partially-consistent,Passive-learner,Beginner
85,9,340,8,Advanced,Highly-consistent,Active-learner,Expert
84,7,51,7,Advanced,partially-consistent,Active-learner,Advanced
20,1,5,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
28,1,3,2,Vibe-Coder,Highly-consistent,Struggling,Advanced Beginner
31,1,3,3,Beginner,Highly-consistent,Passive-learner,Advanced Beginner
63,6,137,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
13,1,0,0,None,partially-consistent,Active-learner,Beginner
29,1,8,2,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
65,6,80,6,Advanced,Highly-consistent,Active-learner,Advanced
87,8,496,9,Vibe-Coder,partially-consistent,Active-learner,Expert
72,6,69,7,Vibe-Coder,partially-consistent,High-potential,Advanced
75,6,193,6,Advanced,Highly-consistent,Active-learner,Advanced
34,5,14,5,Beginner,partially-consistent,Struggling,Intermediate
39,1,6,3,Vibe-Coder,Highly-consistent,Passive-learner,Advanced Beginner
24,1,9,2,Beginner,Inconsistent,Active-learner,Advanced Beginner
83,7,87,6,Vibe-Coder,partially-consistent,Passive-learner,Advanced
12,0,0,0,Vibe-Coder,Highly-consistent,Active-learner,Beginner
38,1,7,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
16,0,0,1,Vibe-Coder,Highly-consistent,Struggling,Beginner
34,1,7,2,Vibe-Coder,Highly-consistent,Active-learner,Advanced Beginner
6,1,3,0,Vibe-Coder,partially-consistent,Struggling,Beginner
75,6,103,6,Intermediate,Highly-consistent,Active-learner,Advanced
36,1,4,3,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
65,5,18,5,Beginner,partially-consistent,Active-learner,Intermediate
19,1,4,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
18,1,9,3,Vibe-Coder,Highly-consistent,Passive-learner,Advanced Beginner
91,8,428,9,Advanced,Highly-consistent,Active-learner,Expert
19,1,6,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
13,1,3,0,Beginner,Inconsistent,Active-learner,Beginner
72,7,57,6,Vibe-Coder,partially-consistent,Active-learner,Advanced
36,1,4,2,Beginner,partially-consistent,Struggling,Advanced Beginner
79,6,193,6,Intermediate,partially-consistent,Active-learner,Advanced
31,1,3,3,Vibe-Coder,partially-consistent,High-potential,Advanced Beginner
6,0,3,0,Beginner,Inconsistent,Active-learner,Beginner
46,4,36,5,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
33,5,9,4,Vibe-Coder,partially-consistent,Struggling,Intermediate
38,4,10,5,Intermediate,Highly-consistent,Passive-learner,Intermediate
66,7,46,7,Intermediate,partially-consistent,Active-learner,Advanced
81,6,189,6,Intermediate,Highly-consistent,Active-learner,Advanced
25,1,7,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
32,4,17,4,Beginner,partially-consistent,Active-learner,Intermediate
87,9,287,9,Advanced,Highly-consistent,Active-learner,Expert
89,6,38,7,Vibe-Coder,Highly-consistent,Active-learner,Advanced
68,7,163,7,Advanced,partially-consistent,Passive-learner,Advanced
19,1,3,3,Beginner,partially-consistent,High-potential,Advanced Beginner
88,9,274,9,Expert,Highly-consistent,High-potential,Expert
45,5,35,4,Beginner,partially-consistent,High-potential,Intermediate
36,1,7,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
89,8,491,8,Vibe-Coder,Highly-consistent,Active-learner,Expert
78,7,91,6,Intermediate,partially-consistent,Struggling,Advanced
29,1,9,3,Vibe-Coder,Inconsistent,Active-learner,Advanced Beginner
80,7,194,6,Advanced,Highly-consistent,Active-learner,Advanced
81,7,42,6,Vibe-Coder,Inconsistent,Active-learner,Advanced
30,1,3,2,Vibe-Coder,partially-consistent,Struggling,Advanced Beginner
66,7,81,6,Intermediate,Highly-consistent,Active-learner,Advanced
44,4,9,4,Beginner,partially-consistent,Active-learner,Intermediate
90,9,405,9,Expert,Highly-consistent,Active-learner,Expert
96,8,438,8,Advanced,Highly-consistent,Active-learner,Expert
7,1,1,0,None,Inconsistent,Passive-learner,Beginner
22,1,8,2,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
67,4,8,5,Intermediate,partially-consistent,Active-learner,Intermediate
40,4,32,4,Vibe-Coder,Highly-consistent,Active-learner,Intermediate
90,8,246,8,Vibe-Coder,partially-consistent,Active-learner,Expert
16,0,0,0,None,Inconsistent,Passive-learner,Beginner
45,4,22,5,Vibe-Coder,Highly-consistent,Struggling,Intermediate
34,1,6,2,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
17,1,4,0,Vibe-Coder,partially-consistent,Passive-learner,Beginner
2,0,1,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
0,0,1,1,None,Inconsistent,Passive-learner,Beginner
32,4,36,5,Beginner,Highly-consistent,High-potential,Intermediate
6,0,2,0,Beginner,Inconsistent,Struggling,Beginner
87,9,259,8,Advanced,Highly-consistent,Active-learner,Expert
92,8,167,8,Expert,Highly-consistent,High-potential,Expert
20,1,5,3,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
13,1,2,0,Beginner,partially-consistent,Active-learner,Beginner
86,8,336,9,Advanced,Highly-consistent,High-potential,Expert
29,1,9,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
18,1,7,3,Beginner,Highly-consistent,Passive-learner,Advanced Beginner
97,8,380,9,Advanced,Highly-consistent,Active-learner,Expert
35,4,23,5,Intermediate,partially-consistent,Active-learner,Intermediate
18,1,3,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
93,9,437,9,Vibe-Coder,partially-consistent,Active-learner,Expert
81,6,106,7,Advanced,Highly-consistent,Active-learner,Advanced
11,0,3,1,Vibe-Coder,Inconsistent,Passive-learner,Beginner
69,4,33,4,Intermediate,partially-consistent,High-potential,Intermediate
33,1,5,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
94,9,239,9,Expert,Highly-consistent,Active-learner,Expert
70,7,118,6,Intermediate,partially-consistent,Active-learner,Advanced
17,0,4,0,None,partially-consistent,Passive-learner,Beginner
69,7,125,7,Advanced,Highly-consistent,Active-learner,Advanced
17,0,3,0,Beginner,Inconsistent,Passive-learner,Beginner
85,8,292,8,Vibe-Coder,partially-consistent,High-potential,Expert
87,7,146,6,Intermediate,partially-consistent,High-potential,Advanced
39,1,5,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
74,7,33,6,Vibe-Coder,partially-consistent,High-potential,Advanced
59,5,39,5,Intermediate,partially-consistent,Struggling,Intermediate
2,0,3,0,Beginner,Inconsistent,Passive-learner,Beginner
5,0,4,1,None,Inconsistent,Passive-learner,Beginner
99,9,388,8,Vibe-Coder,partially-consistent,Active-learner,Expert
54,4,12,5,Intermediate,Highly-consistent,High-potential,Intermediate
20,1,9,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
96,8,467,8,Expert,Highly-consistent,Active-learner,Expert
64,6,156,7,Advanced,partially-consistent,Active-learner,Advanced
97,9,280,8,Advanced,Highly-consistent,Active-learner,Expert
76,7,58,7,Vibe-Coder,Inconsistent,Active-learner,Advanced
10,1,4,0,Vibe-Coder,Inconsistent,Passive-learner,Beginner
85,9,258,9,Expert,Highly-consistent,High-potential,Expert
88,9,484,8,Vibe-Coder,Highly-consistent,High-potential,Expert
83,7,97,6,Advanced,Highly-consistent,Struggling,Advanced
34,5,11,4,Beginner,Highly-consistent,Active-learner,Intermediate
55,5,28,4,Intermediate,Highly-consistent,Struggling,Intermediate
89,8,223,8,Vibe-Coder,partially-consistent,Active-learner,Expert
66,6,109,7,Intermediate,partially-consistent,Active-learner,Advanced
0,0,1,0,None,partially-consistent,Active-learner,Beginner
6,1,1,0,Beginner,Inconsistent,Struggling,Beginner
4,0,3,1,None,Inconsistent,Passive-learner,Beginner
96,9,174,9,Vibe-Coder,partially-consistent,Struggling,Expert
88,6,186,6,Advanced,Inconsistent,Active-learner,Advanced
76,6,85,7,Intermediate,partially-consistent,Active-learner,Advanced
23,1,8,2,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
8,0,0,1,None,Highly-consistent,Struggling,Beginner
35,1,4,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
13,1,4,0,Beginner,Inconsistent,Passive-learner,Beginner
0,0,4,0,Vibe-Coder,partially-consistent,Active-learner,Beginner
64,6,46,6,Advanced,Inconsistent,Active-learner,Advanced
67,6,99,6,Vibe-Coder,Highly-consistent,Active-learner,Advanced
37,5,15,4,Intermediate,partially-consistent,Struggling,Intermediate
85,6,54,7,Vibe-Coder,Highly-consistent,Active-learner,Advanced
97,8,423,8,Expert,partially-consistent,High-potential,Expert
35,4,34,5,Intermediate,partially-consistent,Passive-learner,Intermediate
92,9,203,8,Expert,partially-consistent,Active-learner,Expert
81,6,140,6,Vibe-Coder,partially-consistent,Active-learner,Advanced
64,7,172,6,Advanced,partially-consistent,Active-learner,Advanced
61,7,164,6,Vibe-Coder,Inconsistent,Active-learner,Advanced
11,1,1,0,Beginner,Inconsistent,Active-learner,Beginner
44,5,21,4,Intermediate,partially-consistent,Passive-learner,Intermediate
98,8,361,9,Expert,partially-consistent,Active-learner,Expert
27,1,6,2,Vibe-Coder,Inconsistent,Active-learner,Advanced Beginner
88,8,286,8,Expert,Highly-consistent,High-potential,Expert
85,9,187,9,Advanced,partially-consistent,High-potential,Expert
51,4,10,4,Intermediate,Inconsistent,Passive-learner,Intermediate
86,7,93,6,Advanced,Highly-consistent,Active-learner,Advanced
89,9,200,9,Advanced,Highly-consistent,Active-learner,Expert
95,9,488,9,Expert,partially-consistent,High-potential,Expert
65,6,80,7,Advanced,Inconsistent,Active-learner,Advanced
9,0,3,0,Beginner,Inconsistent,Passive-learner,Beginner
67,7,129,6,Vibe-Coder,partially-consistent,High-potential,Advanced
6,0,1,0,Vibe-Coder,Inconsistent,Struggling,Beginner
41,5,22,5,Vibe-Coder,Inconsistent,High-potential,Intermediate
35,1,9,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
9,0,1,0,Beginner,Inconsistent,Struggling,Beginner
18,1,0,0,Vibe-Coder,partially-consistent,Active-learner,Beginner
37,1,6,3,Vibe-Coder,Highly-consistent,High-potential,Advanced Beginner
11,0,2,0,None,Inconsistent,High-potential,Beginner
60,6,37,6,Intermediate,partially-consistent,Active-learner,Advanced
85,9,377,8,Vibe-Coder,partially-consistent,Active-learner,Expert
4,0,3,1,None,partially-consistent,Passive-learner,Beginner
17,1,2,0,None,partially-consistent,Struggling,Beginner
81,7,42,6,Advanced,partially-consistent,Active-learner,Advanced
35,1,8,3,Vibe-Coder,Highly-consistent,Struggling,Advanced Beginner
33,1,8,3,Vibe-Coder,Highly-consistent,Passive-learner,Advanced Beginner
26,1,7,2,Vibe-Coder,partially-consistent,Active-learner,Advanced Beginner
89,8,265,9,Expert,partially-consistent,Active-learner,Expert
93,8,302,8,Vibe-Coder,Highly-consistent,Active-learner,Expert
90,8,447,8,Advanced,partially-consistent,Active-learner,Expert
14,1,4,1,Beginner,Inconsistent,Struggling,Beginner
52,5,9,5,Intermediate,Highly-consistent,Struggling,Intermediate
88,7,146,7,Advanced,Inconsistent,Active-learner,Advanced
87,8,432,8,Vibe-Coder,partially-consistent,High-potential,Expert
90,9,199,9,Advanced,Highly-consistent,Active-learner,Expert
35,1,6,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
76,6,88,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
67,7,60,7,Intermediate,Highly-consistent,Active-learner,Advanced
27,1,3,3,Beginner,Inconsistent,Active-learner,Advanced Beginner
30,1,4,3,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
71,7,165,6,Intermediate,Highly-consistent,Active-learner,Advanced
90,8,391,9,Advanced,Highly-consistent,Passive-learner,Expert
17,0,3,1,Vibe-Coder,partially-consistent,Passive-learner,Beginner
10,1,0,0,None,Inconsistent,Passive-learner,Beginner
51,4,19,4,Intermediate,partially-consistent,Active-learner,Intermediate
88,6,48,7,Advanced,Highly-consistent,Active-learner,Advanced
66,5,9,4,Intermediate,partially-consistent,Passive-learner,Intermediate
37,1,3,2,Beginner,Inconsistent,Passive-learner,Advanced Beginner
66,6,148,7,Vibe-Coder,partially-consistent,Active-learner,Advanced
64,5,39,4,Vibe-Coder,partially-consistent,Active-learner,Intermediate
13,0,1,1,None,Inconsistent,Struggling,Beginner
93,8,337,8,Expert,Highly-consistent,High-potential,Expert
39,1,9,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
93,9,290,8,Advanced,partially-consistent,Active-learner,Expert
62,5,34,5,Vibe-Coder,Highly-consistent,Active-learner,Intermediate
7,0,4,1,None,Highly-consistent,Struggling,Beginner
85,8,215,9,Advanced,Highly-consistent,Active-learner,Expert
14,1,4,0,None,partially-consistent,Struggling,Beginner
32,1,9,2,Beginner,Inconsistent,Passive-learner,Advanced Beginner
69,6,62,7,Vibe-Coder,partially-consistent,High-potential,Advanced
60,4,12,4,Beginner,partially-consistent,Passive-learner,Intermediate
88,9,265,9,Vibe-Coder,partially-consistent,Active-learner,Expert
57,4,19,4,Beginner,partially-consistent,Struggling,Intermediate
73,6,47,7,Intermediate,partially-consistent,Active-learner,Advanced
41,4,37,4,Intermediate,partially-consistent,Active-learner,Intermediate
60,4,27,4,Beginner,partially-consistent,Active-learner,Intermediate
19,1,8,3,Vibe-Coder,partially-consistent,High-potential,Advanced Beginner
6,1,1,0,Vibe-Coder,partially-consistent,Active-learner,Beginner
44,4,27,4,Intermediate,Inconsistent,Struggling,Intermediate
17,1,4,3,Vibe-Coder,Inconsistent,Passive-learner,Advanced Beginner
87,8,277,8,Vibe-Coder,Highly-consistent,High-potential,Expert
7,1,2,0,Beginner,partially-consistent,Active-learner,Beginner
93,8,464,8,Advanced,Highly-consistent,Active-learner,Expert
28,1,6,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
35,1,7,2,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
63,5,11,5,Vibe-Coder,Inconsistent,Active-learner,Intermediate
9,1,0,1,None,partially-consistent,Active-learner,Beginner
39,5,32,4,Intermediate,Highly-consistent,Active-learner,Intermediate
62,5,15,4,Beginner,partially-consistent,Passive-learner,Intermediate
16,1,0,1,Beginner,Inconsistent,Passive-learner,Beginner
36,5,22,5,Beginner,Highly-consistent,Struggling,Intermediate
3,1,2,0,Beginner,Inconsistent,Active-learner,Beginner
36,1,6,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
66,4,39,4,Intermediate,partially-consistent,Passive-learner,Intermediate
28,1,4,3,Beginner,Inconsistent,Struggling,Advanced Beginner
86,8,284,8,Vibe-Coder,partially-consistent,Active-learner,Expert
3,0,4,1,Vibe-Coder,Highly-consistent,Active-learner,Beginner
13,1,4,0,Beginner,Inconsistent,Struggling,Beginner
76,6,105,6,Advanced,Highly-consistent,Active-learner,Advanced
62,4,10,5,Intermediate,partially-consistent,Struggling,Intermediate
31,4,11,5,Intermediate,partially-consistent,Passive-learner,Intermediate
30,5,24,5,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
81,7,144,6,Advanced,partially-consistent,High-potential,Advanced
80,7,81,6,Intermediate,Highly-consistent,Struggling,Advanced
89,8,382,9,Advanced,partially-consistent,High-potential,Expert
65,7,56,6,Vibe-Coder,partially-consistent,Active-learner,Advanced
0,0,4,1,Vibe-Coder,partially-consistent,Passive-learner,Beginner
0,0,3,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
94,8,412,8,Advanced,partially-consistent,Active-learner,Expert
41,5,12,5,Intermediate,Inconsistent,Passive-learner,Intermediate
62,4,31,4,Intermediate,Highly-consistent,Active-learner,Intermediate
55,4,35,4,Beginner,partially-consistent,Active-learner,Intermediate
21,1,5,3,Vibe-Coder,Highly-consistent,Struggling,Advanced Beginner
14,1,4,1,Vibe-Coder,Inconsistent,Passive-learner,Beginner
78,7,152,7,Advanced,partially-consistent,Active-learner,Advanced
1,0,0,0,None,Highly-consistent,Struggling,Beginner
61,6,149,7,Intermediate,Highly-consistent,Active-learner,Advanced
90,9,296,8,Advanced,partially-consistent,High-potential,Expert
95,9,415,8,Advanced,partially-consistent,Active-learner,Expert
81,6,71,6,Advanced,Highly-consistent,Active-learner,Advanced
83,6,49,7,Intermediate,partially-consistent,Active-learner,Advanced
27,1,4,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
80,7,31,7,Intermediate,Highly-consistent,Active-learner,Advanced
33,1,7,2,Vibe-Coder,Inconsistent,Active-learner,Advanced Beginner
67,7,120,6,Intermediate,partially-consistent,Active-learner,Advanced
51,4,37,4,Intermediate,Highly-consistent,High-potential,Intermediate
36,1,3,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
99,8,269,8,Advanced,partially-consistent,Active-learner,Expert
0,1,3,1,Vibe-Coder,partially-consistent,Active-learner,Beginner
54,5,25,5,Vibe-Coder,Inconsistent,Active-learner,Intermediate
16,1,0,1,Beginner,Inconsistent,Struggling,Beginner
45,4,31,4,Vibe-Coder,Highly-consistent,Active-learner,Intermediate
34,4,12,4,Beginner,Inconsistent,High-potential,Intermediate
71,7,95,6,Advanced,partially-consistent,Active-learner,Advanced
76,6,128,6,Advanced,Highly-consistent,Active-learner,Advanced
30,1,4,3,Beginner,partially-consistent,Struggling,Advanced Beginner
67,4,35,4,Vibe-Coder,partially-consistent,Active-learner,Intermediate
95,9,292,9,Vibe-Coder,partially-consistent,High-potential,Expert
15,1,8,2,Beginner,Inconsistent,High-potential,Advanced Beginner
26,1,8,3,Beginner,Inconsistent,Passive-learner,Advanced Beginner
17,1,3,3,Beginner,partially-consistent,Passive-learner,Advanced Beginner
7,0,2,0,Beginner,partially-consistent,Active-learner,Beginner
93,9,426,8,Advanced,partially-consistent,High-potential,Expert
85,9,200,8,Advanced,partially-consistent,Active-learner,Expert
34,1,4,2,Beginner,partially-consistent,Passive-learner,Advanced Beginner
6,1,2,1,Vibe-Coder,Inconsistent,Active-learner,Beginner
24,1,8,3,Vibe-Coder,partially-consistent,Passive-learner,Advanced Beginner
86,8,356,8,Expert,Highly-consistent,Passive-learner,Expert
60,5,39,4,Intermediate,partially-consistent,Active-learner,Intermediate
31,5,38,4,Beginner,Inconsistent,Active-learner,Intermediate
99,8,280,8,Vibe-Coder,Highly-consistent,Passive-learner,Expert
97,9,245,9,Expert,Highly-consistent,Active-learner,Expert
54,5,22,5,Vibe-Coder,partially-consistent,Active-learner,Intermediate
64,7,112,6,Vibe-Coder,partially-consistent,Active-learner,Advanced
0,1,3,0,None,Inconsistent,Passive-learner,Beginner
17,1,2,0,Vibe-Coder,partially-consistent,Struggling,Beginner
1,1,1,1,None,partially-consistent,Passive-learner,Beginner
74,7,64,7,Intermediate,partially-consistent,Active-learner,Advanced
38,1,5,2,Beginner,Inconsistent,Struggling,Advanced Beginner
56,4,27,5,Intermediate,partially-consistent,Struggling,Intermediate
35,1,5,3,Vibe-Coder,Highly-consistent,Passive-learner,Advanced Beginner
4,0,2,1,None,Inconsistent,Passive-learner,Beginner
83,6,56,6,Vibe-Coder,Highly-consistent,Passive-learner,Advanced
53,4,17,5,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
97,8,216,9,Advanced,Highly-consistent,Active-learner,Expert
89,9,254,9,Advanced,partially-consistent,Active-learner,Expert
86,9,484,8,Vibe-Coder,Highly-consistent,Active-learner,Expert
95,8,166,9,Vibe-Coder,partially-consistent,High-potential,Expert
54,5,20,5,Vibe-Coder,partially-consistent,High-potential,Intermediate
69,5,31,5,Vibe-Coder,partially-consistent,Passive-learner,Intermediate
82,6,45,7,Intermediate,partially-consistent,Active-learner,Advanced
1,0,3,0,Vibe-Coder,Highly-consistent,Active-learner,Beginner
92,8,238,8,Advanced,Highly-consistent,High-potential,Expert
20,1,4,2,Beginner,partially-consistent,Active-learner,Advanced Beginner
32,5,12,5,Intermediate,Highly-consistent,Passive-learner,Intermediate
